hour,count
0,301594371.0
1,304954152.0
2,301824427.0
3,292764825.0
4,247908724.0
5,237454873.0
6,250734094.0
7,264475954.0
8,256860795.0
9,258003648.0
10,265108614.0
11,263970910.0
12,262166714.0
13,249420445.0
14,252272553.0
15,257271943.0
16,285091998.0
17,272287416.0
18,276729385.0
19,277754614.0
20,275658410.0
21,278353065.0
22,268913518.0
23,259505876.0
