operation,is_peak,count,percentage
add,Peak,3270834,0.35003654819590163
cas,Peak,397620,0.04255230693262159
get,Peak,930111725,99.53825160663479
gets,Peak,646245,0.0691595382366884
add,Non-Peak,25971323,0.4699284371817752
cas,Non-Peak,3127411,0.056587774279157545
get,Non-Peak,5492567097,99.38321093651062
gets,Non-Peak,4989069,0.09027285202844854
