hour,count
0,33532209.0
1,29795524.0
2,25862457.0
3,25213441.0
4,26732927.0
5,29333315.0
6,31348080.0
7,29154718.0
8,30486309.0
9,33540253.0
10,40556617.0
11,38708770.0
12,37907915.0
13,36453475.0
14,35078845.0
15,35423985.0
16,36676980.0
17,34577131.0
18,36422665.0
19,38736447.0
20,42691379.0
21,40957646.0
22,37881528.0
23,33234696.0
