datetime,count,is_peak
1970-01-03 15:00:00,59995576,Peak
1970-01-03 16:00:00,59916071,Peak
1970-01-03 21:00:00,59346232,Peak
1970-01-04 18:00:00,61837733,Peak
1970-01-05 17:00:00,59807209,Peak
1970-01-06 07:00:00,59487795,Peak
1970-01-06 08:00:00,79713909,Peak
1970-01-06 09:00:00,78452248,Peak
1970-01-06 10:00:00,78573130,Peak
1970-01-06 11:00:00,81382753,Peak
1970-01-06 12:00:00,87707201,Peak
1970-01-06 13:00:00,83408717,Peak
1970-01-06 16:00:00,60444621,Peak
1970-01-06 17:00:00,59058331,Peak
1970-01-07 06:00:00,63541637,Peak
1970-01-07 07:00:00,65901555,Peak
1970-01-07 16:00:00,68415331,Peak
1970-01-07 17:00:00,65068215,Peak
