operation,is_peak,count,percentage
add,Peak,2530275,0.20536975189673337
cas,Peak,2,1.6232998539426218e-07
get,Peak,1228333512,99.69768053112138
gets,Peak,1194475,0.09694955465190565
add,Non-Peak,7546709,0.12589134597409368
cas,Non-Peak,10,1.668162187969533e-07
get,Non-Peak,5983288128,99.8109501485661
gets,Non-Peak,3786103,0.06315833864358013
