hour,count
0,187332504.0
1,214083794.0
2,239967386.0
3,237290659.0
4,244041738.0
5,243048778.0
6,339137618.0
7,353110937.0
8,337890401.0
9,336606477.0
10,333106915.0
11,342432855.0
12,368074521.0
13,376292072.0
14,377099912.0
15,395017660.0
16,415318964.0
17,410445104.0
18,375453082.0
19,305608379.0
20,243957606.0
21,219335439.0
22,175745777.0
23,156280636.0
