date,add,cas,get,gets
1970-01-01,4542754,580976,940722169,936711
1970-01-02,4387983,570846,921429877,921514
1970-01-03,4393241,576531,1003267052,929084
1970-01-04,4083706,479560,870696924,749135
1970-01-05,3567860,399357,767305680,633351
1970-01-06,3964082,445101,974686417,718988
1970-01-07,3680001,406504,816444924,641877
1970-01-08,622530,66156,128125779,104654
